Section,Dist.(Km),Location,River,Lmax (mm),Lmin (mm),Bmax (mm),Bmin (mm),Dmax (mm),Dmin (mm),Color,Type,Number,Number.1
S-01,0.0,Tongi,Turag,0.91,0.24,0.0,0.0,0.0,0.0,"Black, Red",Fiber and Line,11.0,63.0
,,,,0.17,0.06,0.07,0.03,0.0,0.0,"Black, Blue, Dark Red",Fragment and Sheet,29.0,
,,,,0.41,0.1,0.19,0.06,0.0,0.0,"Transparent, Black",Film,13.0,
,,,,0.0,0.0,0.0,0.0,0.29,0.07,"Black, Dark Red",Pellet,7.0,
,,,,0.24,0.07,0.1,0.04,0.0,0.0,White,Foam,3.0,
S-02,1.6,Estema Area,Turag,0.93,0.24,0.0,0.0,0.0,0.0,"Black, Red, Blue",Fiber and Line,33.0,74.0
,,,,0.24,0.07,0.11,0.07,0.0,0.0,"Black, Dark Red",Fragment and Sheet,21.0,
,,,,0.16,0.06,0.12,0.05,0.0,0.0,"White, Transparent",Film,8.0,
,,,,0.0,0.0,0.0,0.0,0.17,0.05,"Black, Brown",Pellet,12.0,
S-03,3.2,Kathaldia Ghat,Turag,1.0,0.11,0.0,0.0,0.0,0.0,"Black, Light Blue, Red",Fiber and Line,27.0,90.0
,,,,0.13,0.04,0.09,0.03,0.0,0.0,"Black, Dark Red",Fragment and Sheet,43.0,
,,,,0.09,0.02,0.07,0.02,0.0,0.0,"Black, White",Film,8.0,
,,,,0.0,0.0,0.0,0.0,0.13,0.04,"Black, Dark Red, Brown",Pellet,14.0,
S-04,4.8,Prottasa Bridge,Turag,1.63,0.11,0.0,0.0,0.0,0.0,"Black, Red, Brown",Fiber and Line,32.0,133.0
,,,,0.34,0.08,0.11,0.02,0.0,0.0,"Black, Dark Red",Fragment and Sheet,57.0,
,,,,0.18,0.03,0.1,0.04,0.0,0.0,"White, Transparent",Film,17.0,
,,,,0.0,0.0,0.0,0.0,0.1,0.03,"Black, Dark Red, Brown",Pellet,26.0,
,,,,0.19,0.03,0.07,0.05,0.0,0.0,White,Foam,1.0,
S-05,6.4,Ashulia Landing Station,Turag,0.92,0.29,0.0,0.0,0.0,0.0,"Black, Red, Brown, Blue",Fiber and Line,18.0,109.0
,,,,0.16,0.09,0.09,0.03,0.0,0.0,"Black, Dark Green",Fragment and Sheet,54.0,
,,,,0.24,0.11,0.15,0.04,0.0,0.0,"White, Transparent",Film,23.0,
S-06,8.0,Rustompur,Turag,1.88,0.11,0.0,0.0,0.0,0.0,"Black, Blue, Red",Fiber and Line,21.0,116.0
,,,,0.24,0.05,0.12,0.05,0.0,0.0,"Black, Blue, Bluish-Green",Fragment and Sheet,61.0,
,,,,0.33,0.13,0.08,0.04,0.0,0.0,"White, Black, Transparent",Film,19.0,
,,,,0.0,0.0,0.0,0.0,0.12,0.05,"Black, Brown",Pellet,14.0,
,,,,0.22,0.06,0.11,0.06,0.0,0.0,White,Foam,1.0,
S-07,9.6,Deul,Turag,0.55,0.12,0.0,0.0,0.0,0.0,"Black, Blue, Red",Fiber and Line,16.0,132.0
,,,,0.09,0.02,0.04,0.02,0.0,0.0,"Black, Blue",Fragment and Sheet,67.0,
,,,,0.0,0.0,0.0,0.0,0.09,0.02,"Black, Brown",Pellet,21.0,
,,,,0.0,0.0,0.0,0.0,0.18,0.05,White,Foam,5.0,
S-08,11.2,Dhaka Boat Club,Turag,0.55,0.12,0.0,0.0,0.0,0.0,"Black, Blue, Red",Fiber and Line,13.0,932.0
,,,,0.07,0.02,0.04,0.03,0.0,0.0,"Black, Blue, Bluish-Green",Fragment and Sheet,41.0,
,,,,0.04,0.02,0.03,0.01,0.0,0.0,"White, Black, Transparent",Film,14.0,
,,,,0.0,0.0,0.0,0.0,0.04,0.02,"Black, Brown",Pellet,19.0,
,,,,0.0,0.0,0.0,0.0,0.19,0.04,White,Foam,6.0,
